# JGMA 116-02 (1983) gear meshing error tables, transcribed from
# docs/JGMA 116-02 1983.pdf and verified against the rendered pages.
#
# Two INDEPENDENT grade scales. A grade number on one is not the same
# tolerance as the same number on the other -- see DESIGN.md 4.6.1.
#   fine      grades 0-6,  modules 0.2-1.6, pitch diameters 1.51-400 mm
#   standard  grades 4-12, modules 1-10,    pitch diameters up to 4000 mm
#
# Bands are half-open [lo, hi). Values are micrometres.
#
# The fine table prints inclusive diameter bands stepping by 0.01 (6.01~12.00,
# then 12.01~25.00). Each upper bound is raised to the next band's lower bound
# so coverage is contiguous: a 12.00 mm gear uses the 6.01~12.00 row, as intended.
#   tooth_to_tooth  一齒嚙合誤差  single-tooth (tooth-to-tooth) composite error
#   total           全齒嚙合誤差  total composite error
scale,grade,module_lo,module_hi,diameter_lo,diameter_hi,tooth_to_tooth,total
fine,0,0.2,0.6,1.51,3.01,5,13
fine,0,0.2,0.6,3.01,6.01,5.3,16
fine,0,0.2,0.6,6.01,12.01,5.6,16
fine,0,0.2,0.6,12.01,25.01,6.3,18
fine,0,0.2,0.6,25.01,50.01,6.7,19
fine,0,0.2,0.6,50.01,100.01,7.1,20
fine,0,0.2,0.6,100.01,200.01,7.5,22
fine,0,0.2,0.6,200.01,400.01,8,24
fine,0,0.6,1,3.01,6.01,5.6,16
fine,0,0.6,1,6.01,12.01,6,18
fine,0,0.6,1,12.01,25.01,6.7,18
fine,0,0.6,1,25.01,50.01,7.1,19
fine,0,0.6,1,50.01,100.01,7.5,20
fine,0,0.6,1,100.01,200.01,8,22
fine,0,0.6,1,200.01,400.01,8.5,24
fine,0,1,1.6,6.01,12.01,6.3,18
fine,0,1,1.6,12.01,25.01,7.1,20
fine,0,1,1.6,25.01,50.01,7.5,21
fine,0,1,1.6,50.01,100.01,7.5,22
fine,0,1,1.6,100.01,200.01,8,22
fine,0,1,1.6,200.01,400.01,8.5,24
fine,1,0.2,0.6,1.51,3.01,6.3,20
fine,1,0.2,0.6,3.01,6.01,6.7,20
fine,1,0.2,0.6,6.01,12.01,7.1,22
fine,1,0.2,0.6,12.01,25.01,8,25
fine,1,0.2,0.6,25.01,50.01,8.5,28
fine,1,0.2,0.6,50.01,100.01,9,28
fine,1,0.2,0.6,100.01,200.01,9.5,30
fine,1,0.2,0.6,200.01,400.01,10,32
fine,1,0.6,1,3.01,6.01,7.1,22
fine,1,0.6,1,6.01,12.01,7.5,25
fine,1,0.6,1,12.01,25.01,8.5,28
fine,1,0.6,1,25.01,50.01,9,28
fine,1,0.6,1,50.01,100.01,9.5,30
fine,1,0.6,1,100.01,200.01,10,30
fine,1,0.6,1,200.01,400.01,11,34
fine,1,1,1.6,6.01,12.01,8,25
fine,1,1,1.6,12.01,25.01,9,26
fine,1,1,1.6,25.01,50.01,9,30
fine,1,1,1.6,50.01,100.01,9.5,32
fine,1,1,1.6,100.01,200.01,10,32
fine,1,1,1.6,200.01,400.01,11,34
fine,2,0.2,0.6,1.51,3.01,8,26
fine,2,0.2,0.6,3.01,6.01,8.5,30
fine,2,0.2,0.6,6.01,12.01,9,32
fine,2,0.2,0.6,12.01,25.01,10,36
fine,2,0.2,0.6,25.01,50.01,11,38
fine,2,0.2,0.6,50.01,100.01,11,40
fine,2,0.2,0.6,100.01,200.01,12,42
fine,2,0.2,0.6,200.01,400.01,13,45
fine,2,0.6,1,3.01,6.01,9,32
fine,2,0.6,1,6.01,12.01,9.5,34
fine,2,0.6,1,12.01,25.01,10,38
fine,2,0.6,1,25.01,50.01,11,40
fine,2,0.6,1,50.01,100.01,12,42
fine,2,0.6,1,100.01,200.01,12,45
fine,2,0.6,1,200.01,400.01,13,48
fine,2,1,1.6,6.01,12.01,10,36
fine,2,1,1.6,12.01,25.01,11,40
fine,2,1,1.6,25.01,50.01,12,40
fine,2,1,1.6,50.01,100.01,12,42
fine,2,1,1.6,100.01,200.01,13,45
fine,2,1,1.6,200.01,400.01,14,48
fine,3,0.2,0.6,1.51,3.01,11,38
fine,3,0.2,0.6,3.01,6.01,12,42
fine,3,0.2,0.6,6.01,12.01,13,45
fine,3,0.2,0.6,12.01,25.01,14,50
fine,3,0.2,0.6,25.01,50.01,15,53
fine,3,0.2,0.6,50.01,100.01,16,56
fine,3,0.2,0.6,100.01,200.01,17,60
fine,3,0.2,0.6,200.01,400.01,18,63
fine,3,0.6,1,3.01,6.01,12,45
fine,3,0.6,1,6.01,12.01,14,48
fine,3,0.6,1,12.01,25.01,15,53
fine,3,0.6,1,25.01,50.01,16,56
fine,3,0.6,1,50.01,100.01,16,60
fine,3,0.6,1,100.01,200.01,18,63
fine,3,0.6,1,200.01,400.01,19,67
fine,3,1,1.6,6.01,12.01,14,53
fine,3,1,1.6,12.01,25.01,16,56
fine,3,1,1.6,25.01,50.01,16,60
fine,3,1,1.6,50.01,100.01,17,60
fine,3,1,1.6,100.01,200.01,18,63
fine,3,1,1.6,200.01,400.01,19,67
fine,4,0.2,0.6,1.51,3.01,18,53
fine,4,0.2,0.6,3.01,6.01,19,60
fine,4,0.2,0.6,6.01,12.01,20,63
fine,4,0.2,0.6,12.01,25.01,22,71
fine,4,0.2,0.6,25.01,50.01,24,80
fine,4,0.2,0.6,50.01,100.01,25,80
fine,4,0.2,0.6,100.01,200.01,26,80
fine,4,0.2,0.6,200.01,400.01,28,90
fine,4,0.6,1,3.01,6.01,20,63
fine,4,0.6,1,6.01,12.01,22,67
fine,4,0.6,1,12.01,25.01,24,71
fine,4,0.6,1,25.01,50.01,25,80
fine,4,0.6,1,50.01,100.01,26,80
fine,4,0.6,1,100.01,200.01,28,90
fine,4,0.6,1,200.01,400.01,30,90
fine,4,1,1.6,6.01,12.01,22,71
fine,4,1,1.6,12.01,25.01,25,80
fine,4,1,1.6,25.01,50.01,26,80
fine,4,1,1.6,50.01,100.01,26,90
fine,4,1,1.6,100.01,200.01,28,90
fine,4,1,1.6,200.01,400.01,30,100
fine,5,0.2,0.6,1.51,3.01,25,80
fine,5,0.2,0.6,3.01,6.01,26,80
fine,5,0.2,0.6,6.01,12.01,30,90
fine,5,0.2,0.6,12.01,25.01,32,100
fine,5,0.2,0.6,25.01,50.01,34,100
fine,5,0.2,0.6,50.01,100.01,36,112
fine,5,0.2,0.6,100.01,200.01,38,125
fine,5,0.2,0.6,200.01,400.01,42,125
fine,5,0.6,1,3.01,6.01,28,90
fine,5,0.6,1,6.01,12.01,30,100
fine,5,0.6,1,12.01,25.01,34,100
fine,5,0.6,1,25.01,50.01,36,112
fine,5,0.6,1,50.01,100.01,38,112
fine,5,0.6,1,100.01,200.01,40,125
fine,5,0.6,1,200.01,400.01,42,140
fine,5,1,1.6,6.01,12.01,32,100
fine,5,1,1.6,12.01,25.01,36,112
fine,5,1,1.6,25.01,50.01,36,112
fine,5,1,1.6,50.01,100.01,38,125
fine,5,1,1.6,100.01,200.01,40,125
fine,5,1,1.6,200.01,400.01,42,140
fine,6,0.2,0.6,1.51,3.01,34,112
fine,6,0.2,0.6,3.01,6.01,38,112
fine,6,0.2,0.6,6.01,12.01,40,125
fine,6,0.2,0.6,12.01,25.01,45,140
fine,6,0.2,0.6,25.01,50.01,48,140
fine,6,0.2,0.6,50.01,100.01,50,160
fine,6,0.2,0.6,100.01,200.01,53,160
fine,6,0.2,0.6,200.01,400.01,56,180
fine,6,0.6,1,3.01,6.01,40,125
fine,6,0.6,1,6.01,12.01,42,140
fine,6,0.6,1,12.01,25.01,48,140
fine,6,0.6,1,25.01,50.01,50,160
fine,6,0.6,1,50.01,100.01,53,160
fine,6,0.6,1,100.01,200.01,56,180
fine,6,0.6,1,200.01,400.01,60,180
fine,6,1,1.6,6.01,12.01,45,140
fine,6,1,1.6,12.01,25.01,50,160
fine,6,1,1.6,25.01,50.01,53,160
fine,6,1,1.6,50.01,100.01,53,180
fine,6,1,1.6,100.01,200.01,56,180
fine,6,1,1.6,200.01,400.01,60,200
standard,4,1,3.5,0,125,7,20
standard,4,1,3.5,125,400,8,22
standard,4,1,3.5,400,800,9,25
standard,4,1,3.5,800,1600,10,28
standard,4,1,3.5,1600,2500,11,32
standard,4,1,3.5,2500,4000,13,36
standard,4,3.5,6.3,0,125,9,25
standard,4,3.5,6.3,125,400,10,28
standard,4,3.5,6.3,400,800,10,28
standard,4,3.5,6.3,800,1600,11,32
standard,4,3.5,6.3,1600,2500,13,36
